session_date,session_name,side,entry_price,initial_stop,risk_points,r_multiple,applied_rr,applied_sl_default,regime_bucket,gamma_regime,exit_category,pnl_points,entry_time_utc,exit_bar_utc,hold_minutes
2018-01-01,ASIA,buy,6420.5,6415.5,5,-1,2,5,NO_GAMMA|WIDTH_UNKNOWN,NO_GAMMA,CLOSED_LOSS,-5,2018-01-02T01:32:00.000Z,2018-01-02T02:53:00.000Z,81
2018-01-02,ASIA,sell,6519.25,6527.25,8,-0.3125,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_SESSION_END,-2.5,2018-01-03T01:30:00.000Z,2018-01-03T06:00:00.000Z,270
2018-01-02,NY,buy,6432.75,6423.75,9,2,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,18,2018-01-02T14:32:00.000Z,2018-01-02T14:40:00.000Z,8
2018-01-03,ASIA,sell,6585.75,6590.75,5,-1,3,5,NO_GAMMA|WIDTH_MEDIUM,NO_GAMMA,CLOSED_LOSS,-5,2018-01-04T01:23:00.000Z,2018-01-04T03:15:00.000Z,112
2018-01-04,NY,buy,6602.75,6592.75,10,-1,2,8,NO_GAMMA|WIDTH_MEDIUM,NO_GAMMA,CLOSED_LOSS,-10,2018-01-04T14:30:00.000Z,2018-01-04T14:43:00.000Z,13
2018-01-05,NY,sell,6629,6637,8,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-8,2018-01-05T14:32:00.000Z,2018-01-05T15:55:00.000Z,83
2018-01-08,NY,buy,6660,6654.25,5.75,2,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_WIN,11.5,2018-01-08T14:30:00.000Z,2018-01-08T14:34:00.000Z,4
2018-01-09,ASIA,sell,6679.75,6684.75,5,-1,3,5,NO_GAMMA|WIDTH_MEDIUM,NO_GAMMA,CLOSED_LOSS,-5,2018-01-10T01:26:00.000Z,2018-01-10T01:37:00.000Z,11
2018-01-09,NY,buy,6698.25,6690.5,7.75,-1,2,8,NO_GAMMA|WIDTH_MEDIUM,NO_GAMMA,CLOSED_LOSS,-7.75,2018-01-09T14:31:00.000Z,2018-01-09T14:36:00.000Z,5
2018-01-10,ASIA,sell,6680.5,6688.5,8,-0.125,3,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_SESSION_END,-1,2018-01-11T04:30:00.000Z,2018-01-11T06:00:00.000Z,90
2018-01-10,NY,buy,6647.75,6640.5,7.25,-1,2,8,NO_GAMMA|WIDTH_WIDE,NO_GAMMA,CLOSED_LOSS,-7.25,2018-01-10T14:51:00.000Z,2018-01-10T14:52:00.000Z,1
