date,setup_id,direction,session,entry_time,exit_time,hold_minutes,entry_price,stop_price,target_price,risk_points,exit_price,exit_type,pnl_points,pnl_usd,r_multiple,risk_reward,reasoning
2018-01-01,L-REV-201801012303,long,overnight,2018-01-01T23:03:00,2018-01-02T00:24:00,81.0,7644.61,7637.24,7660.5,7.37,7660.5,TARGET_HIT,15.89,314.79,2.16,2.16,HTF Sweep (HTF_SWING) + IFVG Bullish Inversion
2018-01-02,S-REV-201801020041,short,pre_market,2018-01-02T00:41:00,2018-01-02T00:59:00,18.0,7672.63,7675.53,7657.34,2.89,7672.63,HARD_STOP,0.0,-3.1,0.0,5.29,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2018-01-02,S-REV-201801020101,short,pre_market,2018-01-02T01:01:00,2018-01-02T01:19:00,18.0,7672.63,7674.93,7655.55,2.3,7672.63,HARD_STOP,0.0,-3.1,0.0,7.44,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2018-01-02,S-REV-201801020124,short,pre_market,2018-01-02T01:24:00,2018-01-02T01:43:00,19.0,7674.12,7676.72,7658.23,2.6,7674.12,HARD_STOP,0.0,-3.1,0.0,6.12,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2018-01-02,S-REV-201801020130,short,pre_market,2018-01-02T01:30:00,2018-01-02T01:53:00,23.0,7674.12,7677.32,7658.83,3.19,7677.32,HARD_STOP,-3.19,-66.95,-1.0,4.79,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2018-01-02,S-REV-201801020135,short,pre_market,2018-01-02T01:35:00,2018-01-02T01:43:00,8.0,7674.12,7676.42,7657.93,2.3,7674.12,HARD_STOP,0.0,-3.1,0.0,7.05,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2018-01-02,S-REV-201801020137,short,pre_market,2018-01-02T01:37:00,2018-01-02T01:48:00,11.0,7672.63,7675.53,7656.74,2.89,7675.53,HARD_STOP,-2.89,-60.99,-1.0,5.49,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2018-01-02,S-REV-201801020142,short,pre_market,2018-01-02T01:42:00,2018-01-02T01:48:00,6.0,7672.63,7674.93,7657.34,2.3,7674.93,HARD_STOP,-2.3,-49.06,-1.0,6.66,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2018-01-02,S-REV-201801020158,short,pre_market,2018-01-02T01:58:00,2018-01-02T02:20:00,22.0,7672.63,7677.32,7656.44,4.68,7677.32,HARD_STOP,-4.68,-96.77,-1.0,3.46,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2018-01-02,S-REV-201801020231,short,pre_market,2018-01-02T02:31:00,2018-01-02T02:37:00,6.0,7679.79,7688.65,7657.93,8.86,7679.79,HARD_STOP,0.0,-3.1,0.0,2.47,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
2018-01-02,S-REV-201801020337,short,pre_market,2018-01-02T03:37:00,2018-01-02T03:53:00,16.0,7742.11,7750.07,7726.21,7.96,7750.07,HARD_STOP,-7.96,-162.37,-1.0,2.0,HTF Sweep (HTF_SWING) + IFVG Bearish Inversion
